Source;Target;Weight;Type;PreSynTransmitter;PostSynReceptor
OLQVR;RMER;2;chemical;Glutamate;AVR-15, GLR-1
OLQVR;RMHR;1;chemical;Glutamate;
OLQVR;SIBVR;18;chemical;Glutamate;
OLLL;IL1VL;3;chemical;Glutamate;
OLLL;OLLL;4;chemical;Glutamate;
OLLL;CEPDL;5;chemical;Glutamate;
OLLL;CEPVL;14;chemical;Glutamate;
OLLL;URYDL;2;chemical;Glutamate;
OLLL;URYVL;1;chemical;Glutamate;
OLLL;RIBL;24;chemical;Glutamate;
OLLL;AVER;53;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
OLLL;RMDDL;22;chemical;Glutamate;GLR-1
OLLL;RMDL;6;chemical;Glutamate;GLR-1
OLLL;RMDVL;3;chemical;Glutamate;GLR-1
OLLL;RMEL;5;chemical;Glutamate;AVR-15, GLR-1
OLLL;SMDDL;8;chemical;Glutamate;
OLLL;SMDDR;9;chemical;Glutamate;
OLLL;SMDVR;10;chemical;Glutamate;
OLLR;IL1DR;1;chemical;Glutamate;
OLLR;IL1VR;2;chemical;Glutamate;
OLLR;IL2R;1;chemical;Glutamate;
OLLR;OLQDR;1;chemical;Glutamate;
OLLR;OLLR;4;chemical;Glutamate;
OLLR;CEPDR;4;chemical;Glutamate;
OLLR;CEPVR;16;chemical;Glutamate;
OLLR;URYVL;3;chemical;Glutamate;
OLLR;ADER;2;chemical;Glutamate;
OLLR;RIBR;21;chemical;Glutamate;
OLLR;RIS;2;chemical;Glutamate;GLR-1
OLLR;AVEL;39;chemical;Glutamate;GLR-1, GLR-2, GLR-5, NMR-1, NMR-2
OLLR;RMDDR;26;chemical;Glutamate;GLR-1
OLLR;RMDL;9;chemical;Glutamate;GLR-1
OLLR;RMDR;2;chemical;Glutamate;GLR-1
OLLR;RMDVR;6;chemical;Glutamate;GLR-1
OLLR;RMED;1;chemical;Glutamate;AVR-15, GLR-1
OLLR;RMER;3;chemical;Glutamate;AVR-15, GLR-1
OLLR;SMDDL;3;chemical;Glutamate;
OLLR;SMDDR;1;chemical;Glutamate;
OLLR;SMDVL;11;chemical;Glutamate;
OLLR;SMDVR;4;chemical;Glutamate;
CEPDL;AFDL;2;chemical;Dopamine;
